"@timestamp",password,message
"Jun 17, 2026 @ 20:08:17.542","-","New connection: 192.168.65.1:19266 (172.17.0.2:2222) [session: ed45e04dbaae]"
"Jun 17, 2026 @ 20:08:17.544","-","Remote SSH version: SSH-2.0-OpenSSH_10.2p1 Ubuntu-2ubuntu3.2"
"Jun 17, 2026 @ 20:08:17.544","-","SSH client hassh fingerprint: eeca2460550b9ded084ecf2f70a75356"
"Jun 17, 2026 @ 20:08:17.545",lsdkcs,"login attempt [wronguser/lsdkcs] succeeded"
"Jun 17, 2026 @ 20:08:17.545","-","Terminal Size: 217 51"
"Jun 17, 2026 @ 20:08:17.545","-","request_env: COLORTERM=truecolor"
"Jun 17, 2026 @ 20:08:17.545","-","request_env: LANG=en_US.UTF-8"
"Jun 17, 2026 @ 20:08:17.545","-","-"
"Jun 17, 2026 @ 20:08:19.547","-","CMD: ls"
"Jun 17, 2026 @ 20:08:25.551","-","CMD: pwd"
"Jun 17, 2026 @ 20:08:27.552","-","CMD: cd ../.."
"Jun 17, 2026 @ 20:08:29.553","-","CMD: ls"
"Jun 17, 2026 @ 20:08:31.553","-","CMD: exit"
"Jun 17, 2026 @ 20:08:31.553","-","Closing TTY Log: var/lib/cowrie/tty/1349e36d2e0552f1d884cc565746e16bef38e31fa7e35909326ef7b877a316b9 after 15.7 seconds"
"Jun 17, 2026 @ 20:08:31.554","-","Connection lost after 18.1 seconds"
